VACLS,RXNORM,NAME,TTY
CV400,1299870,moexipril hydrochloride 7.5 MG,SCDC
CV400,1299890,hydrochlorothiazide 25 MG / moexipril hydrochloride 15 MG Oral Tablet,SCD
CV400,54552,perindopril,IN
CV400,1033889,amlodipine / perindopril,MIN
CV400,1600711,perindopril arginine,PIN
CV400,1600722,amlodipine 10 MG / perindopril arginine 14 MG Oral Tablet [Prestalia],SBD
CV400,1600718,amlodipine 10 MG / perindopril arginine 14 MG [Prestalia],SBDC
CV400,1600719,amlodipine / perindopril Oral Tablet [Prestalia],SBDF
CV400,1600720,Prestalia Oral Product,SBDG
CV400,1600721,Prestalia Pill,SBDG
CV400,1600716,amlodipine 10 MG / perindopril arginine 14 MG Oral Tablet,SCD
CV400,1600712,perindopril arginine 14 MG,SCDC
CV400,329526,amlodipine 10 MG,SCDC
CV400,1600715,amlodipine / perindopril Oral Tablet,SCDF
CV400,1600713,amlodipine / perindopril Oral Product,SCDG
CV400,1600714,amlodipine / perindopril Pill,SCDG
CV400,1600726,amlodipine 2.5 MG / perindopril arginine 3.5 MG Oral Tablet [Prestalia],SBD
CV400,1600725,amlodipine 2.5 MG / perindopril arginine 3.5 MG [Prestalia],SBDC
CV400,1600724,amlodipine 2.5 MG / perindopril arginine 3.5 MG Oral Tablet,SCD
CV400,1600723,perindopril arginine 3.5 MG,SCDC
CV400,329527,amlodipine 2.5 MG,SCDC
CV400,1600730,amlodipine 5 MG / perindopril arginine 7 MG Oral Tablet [Prestalia],SBD
CV400,1600729,amlodipine 5 MG / perindopril arginine 7 MG [Prestalia],SBDC
CV400,1600728,amlodipine 5 MG / perindopril arginine 7 MG Oral Tablet,SCD
CV400,1600727,perindopril arginine 7 MG,SCDC
CV400,1656328,sacubitril,IN
CV400,69749,valsartan,IN
CV400,1656339,sacubitril / valsartan,MIN
CV400,1656346,sacubitril 24 MG / valsartan 26 MG Oral Tablet [Entresto],SBD
CV400,1656342,sacubitril 24 MG / valsartan 26 MG [Entresto],SBDC
CV400,1656343,sacubitril / valsartan Oral Tablet [Entresto],SBDF
CV400,1656344,Entresto Oral Product,SBDG
CV400,1656345,Entresto Pill,SBDG
CV400,1656340,sacubitril 24 MG / valsartan 26 MG Oral Tablet,SCD
CV400,1656334,sacubitril 24 MG,SCDC
CV400,1656335,valsartan 26 MG,SCDC
CV400,1656338,sacubitril / valsartan Oral Tablet,SCDF
CV400,1656336,sacubitril / valsartan Oral Product,SCDG
CV400,1656337,sacubitril / valsartan Pill,SCDG
CV400,1656351,sacubitril 49 MG / valsartan 51 MG Oral Tablet [Entresto],SBD
CV400,1656350,sacubitril 49 MG / valsartan 51 MG [Entresto],SBDC
CV400,1656349,sacubitril 49 MG / valsartan 51 MG Oral Tablet,SCD
CV400,1656347,sacubitril 49 MG,SCDC
CV400,1656348,valsartan 51 MG,SCDC
CV400,1656356,sacubitril 97 MG / valsartan 103 MG Oral Tablet [Entresto],SBD
CV400,1656355,sacubitril 97 MG / valsartan 103 MG [Entresto],SBDC
CV400,1656354,sacubitril 97 MG / valsartan 103 MG Oral Tablet,SCD
CV400,1656352,sacubitril 97 MG,SCDC
CV400,1656353,valsartan 103 MG,SCDC
CV400,1202,atenolol,IN
CV400,151195,atenolol / chlorthalidone,MIN
CV400,746023,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet [Tenoretic],SBD
CV400,746021,atenolol 100 MG / chlorthalidone 25 MG [Tenoretic],SBDC
CV400,746022,atenolol / chlorthalidone Oral Tablet [Tenoretic],SBDF
CV400,1182013,Tenoretic Oral Product,SBDG
CV400,1182014,Tenoretic Pill,SBDG
CV400,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,SCD
CV400,315436,atenolol 100 MG,SCDC
CV400,370620,atenolol / chlorthalidone Oral Tablet,SCDF
CV400,1154370,atenolol / chlorthalidone Oral Product,SCDG
CV400,1154371,atenolol / chlorthalidone Pill,SCDG
CV400,746030,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet [Tenoretic],SBD
CV400,746028,atenolol 50 MG / chlorthalidone 25 MG [Tenoretic],SBDC
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,SCD
CV400,315438,atenolol 50 MG,SCDC
CV400,1998,captopril,IN
CV400,214357,captopril / hydrochlorothiazide,MIN
CV400,197436,captopril 25 MG / hydrochlorothiazide 15 MG Oral Tablet,SCD
CV400,315561,captopril 25 MG,SCDC
CV400,316048,hydrochlorothiazide 15 MG,SCDC
CV400,371253,captopril / hydrochlorothiazide Oral Tablet,SCDF
CV400,1155750,captopril / hydrochlorothiazide Oral Product,SCDG
CV400,1155751,captopril / hydrochlorothiazide Pill,SCDG
CV400,197437,captopril 25 MG / hydrochlorothiazide 25 MG Oral Tablet,SCD
CV400,197438,captopril 50 MG / hydrochlorothiazide 15 MG Oral Tablet,SCD
CV400,315562,captopril 50 MG,SCDC
CV400,197439,captopril 50 MG / hydrochlorothiazide 25 MG Oral Tablet,SCD
CV400,29046,lisinopril,IN
CV400,214618,hydrochlorothiazide / lisinopril,MIN
CV400,823986,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet [Zestoretic],SBD
CV400,823984,hydrochlorothiazide 12.5 MG / lisinopril 10 MG [Zestoretic],SBDC
CV400,823970,hydrochlorothiazide / lisinopril Oral Tablet [Zestoretic],SBDF
CV400,1187277,Zestoretic Oral Product,SBDG
CV400,1187278,Zestoretic Pill,SBDG
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,SCD
CV400,316151,lisinopril 10 MG,SCDC
CV400,372613,hydrochlorothiazide / lisinopril Oral Tablet,SCDF
CV400,1162124,hydrochlorothiazide / lisinopril Oral Product,SCDG
CV400,1162125,hydrochlorothiazide / lisinopril Pill,SCDG
CV400,823982,hydrochlorothiazide 12.5 MG / lisinopril 20 MG Oral Tablet [Zestoretic],SBD
CV400,823980,hydrochlorothiazide 12.5 MG / lisinopril 20 MG [Zestoretic],SBDC
CV400,197886,hydrochlorothiazide 12.5 MG / lisinopril 20 MG Oral Tablet,SCD
CV400,316153,lisinopril 20 MG,SCDC
CV400,823971,hydrochlorothiazide 25 MG / lisinopril 20 MG Oral Tablet [Zestoretic],SBD
CV400,823969,hydrochlorothiazide 25 MG / lisinopril 20 MG [Zestoretic],SBDC
CV400,197887,hydrochlorothiazide 25 MG / lisinopril 20 MG Oral Tablet,SCD
CV400,6876,methyldopa,IN
CV400,214620,hydrochlorothiazide / methyldopa,MIN
CV400,197960,hydrochlorothiazide 25 MG / methyldopa 250 MG Oral Tablet,SCD
CV400,316283,methyldopa 250 MG,SCDC
CV400,372853,hydrochlorothiazide / methyldopa Oral Tablet,SCDF
CV400,1162130,hydrochlorothiazide / methyldopa Oral Product,SCDG
CV400,1162131,hydrochlorothiazide / methyldopa Pill,SCDG
CV400,197963,hydrochlorothiazide 15 MG / methyldopa 250 MG Oral Tablet,SCD
CV400,1369,bendroflumethiazide,IN
CV400,7226,nadolol,IN
CV400,214288,bendroflumethiazide / nadolol,MIN
CV400,208029,bendroflumethiazide 5 MG / nadolol 80 MG Oral Tablet [Corzide],SBD
CV400,568759,bendroflumethiazide 5 MG / nadolol 80 MG [Corzide],SBDC
CV400,369300,bendroflumethiazide / nadolol Oral Tablet [Corzide],SBDF
CV400,1170997,Corzide Oral Product,SBDG
CV400,1171610,Corzide Pill,SBDG
CV400,198001,bendroflumethiazide 5 MG / nadolol 80 MG Oral Tablet,SCD
CV400,315467,bendroflumethiazide 5 MG,SCDC
CV400,316321,nadolol 80 MG,SCDC
CV400,372977,bendroflumethiazide / nadolol Oral Tablet,SCDF
CV400,1156023,bendroflumethiazide / nadolol Oral Product,SCDG
CV400,1156024,bendroflumethiazide / nadolol Pill,SCDG
CV400,214626,hydrochlorothiazide / valsartan,MIN
CV400,809014,hydrochlorothiazide 12.5 MG / valsartan 80 MG Oral Tablet [Diovan HCT],SBD
CV400,809012,hydrochlorothiazide 12.5 MG / valsartan 80 MG [Diovan HCT],SBDC
CV400,809029,hydrochlorothiazide / valsartan Oral Tablet [Diovan HCT],SBDF
CV400,1171082,Diovan HCT Oral Product,SBDG
CV400,1171087,Diovan HCT Pill,SBDG
CV400,200284,hydrochlorothiazide 12.5 MG / valsartan 80 MG Oral Tablet,SCD
CV400,316882,valsartan 80 MG,SCDC
CV400,374280,hydrochlorothiazide / valsartan Oral Tablet,SCDF
CV400,1162783,hydrochlorothiazide / valsartan Oral Product,SCDG
CV400,1162784,hydrochlorothiazide / valsartan Pill,SCDG
CV400,809018,hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet [Diovan HCT],SBD
CV400,809016,hydrochlorothiazide 12.5 MG / valsartan 160 MG [Diovan HCT],SBDC
CV400,200285,hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet,SCD
CV400,316881,valsartan 160 MG,SCDC
CV400,73494,telmisartan,IN
CV400,284636,hydrochlorothiazide / telmisartan,MIN
CV400,749833,hydrochlorothiazide 12.5 MG / telmisartan 40 MG Oral Tablet [Micardis-HCT],SBD
CV400,749831,hydrochlorothiazide 12.5 MG / telmisartan 40 MG [Micardis-HCT],SBDC
CV400,749836,hydrochlorothiazide / telmisartan Oral Tablet [Micardis-HCT],SBDF
CV400,1178060,Micardis-HCT Oral Product,SBDG
CV400,1178061,Micardis-HCT Pill,SBDG
CV400,283316,hydrochlorothiazide 12.5 MG / telmisartan 40 MG Oral Tablet,SCD
CV400,316764,telmisartan 40 MG,SCDC
CV400,378921,hydrochlorothiazide / telmisartan Oral Tablet,SCDF
CV400,1162781,hydrochlorothiazide / telmisartan Oral Product,SCDG
CV400,1162782,hydrochlorothiazide / telmisartan Pill,SCDG
CV400,749837,hydrochlorothiazide 12.5 MG / telmisartan 80 MG Oral Tablet [Micardis-HCT],SBD
CV400,749835,hydrochlorothiazide 12.5 MG / telmisartan 80 MG [Micardis-HCT],SBDC
CV400,283317,hydrochlorothiazide 12.5 MG / telmisartan 80 MG Oral Tablet,SCD
CV400,316765,telmisartan 80 MG,SCDC
CV400,83818,irbesartan,IN
CV400,214617,hydrochlorothiazide / irbesartan,MIN
CV400,823934,hydrochlorothiazide 12.5 MG / irbesartan 150 MG Oral Tablet [Avalide],SBD
CV400,823932,hydrochlorothiazide 12.5 MG / irbesartan 150 MG [Avalide],SBDC
CV400,823937,hydrochlorothiazide / irbesartan Oral Tablet [Avalide],SBDF
CV400,1175010,Avalide Oral Product,SBDG
CV400,1175011,Avalide Pill,SBDG
CV400,310792,hydrochlorothiazide 12.5 MG / irbesartan 150 MG Oral Tablet,SCD
CV400,316098,irbesartan 150 MG,SCDC
CV400,370705,hydrochlorothiazide / irbesartan Oral Tablet,SCDF
CV400,1162156,hydrochlorothiazide / irbesartan Oral Product,SCDG
CV400,1162157,hydrochlorothiazide / irbesartan Pill,SCDG
CV400,823938,hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet [Avalide],SBD
CV400,823936,hydrochlorothiazide 12.5 MG / irbesartan 300 MG [Avalide],SBDC
CV400,310793,hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet,SCD
CV400,316099,irbesartan 300 MG,SCDC
CV400,35208,quinapril,IN
CV400,261417,hydrochlorothiazide / quinapril,MIN
CV400,809854,hydrochlorothiazide 12.5 MG / quinapril 10 MG Oral Tablet [Accuretic],SBD
CV400,809852,hydrochlorothiazide 12.5 MG / quinapril 10 MG [Accuretic],SBDC
CV400,809853,hydrochlorothiazide / quinapril Oral Tablet [Accuretic],SBDF
CV400,1168391,Accuretic Oral Product,SBDG
CV400,1168392,Accuretic Pill,SBDG
CV400,310796,hydrochlorothiazide 12.5 MG / quinapril 10 MG Oral Tablet,SCD
CV400,316616,quinapril 10 MG,SCDC
CV400,373732,hydrochlorothiazide / quinapril Oral Tablet,SCDF
CV400,1162779,hydrochlorothiazide / quinapril Oral Product,SCDG
CV400,1162780,hydrochlorothiazide / quinapril Pill,SCDG
CV400,809858,hydrochlorothiazide 12.5 MG / quinapril 20 MG Oral Tablet [Accuretic],SBD
CV400,809856,hydrochlorothiazide 12.5 MG / quinapril 20 MG [Accuretic],SBDC
CV400,310797,hydrochlorothiazide 12.5 MG / quinapril 20 MG Oral Tablet,SCD
CV400,316617,quinapril 20 MG,SCDC
CV400,882559,hydrochlorothiazide 25 MG / quinapril 20 MG Oral Tablet [Accuretic],SBD
CV400,882557,hydrochlorothiazide 25 MG / quinapril 20 MG [Accuretic],SBDC
CV400,310809,hydrochlorothiazide 25 MG / quinapril 20 MG Oral Tablet,SCD
CV400,809022,hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Diovan HCT],SBD
CV400,809020,hydrochlorothiazide 25 MG / valsartan 160 MG [Diovan HCT],SBDC
CV400,349353,hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet,SCD
CV400,83515,eprosartan,IN
CV400,352375,eprosartan / hydrochlorothiazide,MIN
CV400,351292,eprosartan 600 MG / hydrochlorothiazide 12.5 MG Oral Tablet,SCD
CV400,330330,eprosartan 600 MG,SCDC
CV400,378735,eprosartan / hydrochlorothiazide Oral Tablet,SCDF
CV400,1161918,eprosartan / hydrochlorothiazide Oral Product,SCDG
CV400,1161919,eprosartan / hydrochlorothiazide Pill,SCDG
CV400,352336,eprosartan 600 MG / hydrochlorothiazide 25 MG Oral Tablet [Teveten HCT],SBD
CV400,576025,eprosartan 600 MG / hydrochlorothiazide 25 MG [Teveten HCT],SBDC
CV400,368561,eprosartan / hydrochlorothiazide Oral Tablet [Teveten HCT],SBDF
CV400,1184922,Teveten HCT Oral Product,SBDG
CV400,1184923,Teveten HCT Pill,SBDG
CV400,351293,eprosartan 600 MG / hydrochlorothiazide 25 MG Oral Tablet,SCD
CV400,817496,hydrochlorothiazide / olmesartan,MIN
CV400,847060,hydrochlorothiazide 12.5 MG / olmesartan medoxomil 20 MG Oral Tablet [Benicar HCT],SBD
CV400,847058,hydrochlorothiazide 12.5 MG / olmesartan medoxomil 20 MG [Benicar HCT],SBDC
CV400,847059,hydrochlorothiazide / olmesartan Oral Tablet [Benicar HCT],SBDF
CV400,1170817,Benicar HCT Oral Product,SBDG
CV400,1170818,Benicar HCT Pill,SBDG
CV400,403853,hydrochlorothiazide 12.5 MG / olmesartan medoxomil 20 MG Oral Tablet,SCD
CV400,358775,olmesartan medoxomil 20 MG,SCDC
CV400,406041,hydrochlorothiazide / olmesartan Oral Tablet,SCDF
CV400,1162777,hydrochlorothiazide / olmesartan Oral Product,SCDG
CV400,1162778,hydrochlorothiazide / olmesartan Pill,SCDG
CV400,847055,hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG Oral Tablet [Benicar HCT],SBD
CV400,847053,hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG [Benicar HCT],SBDC
CV400,403854,hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG Oral Tablet,SCD
CV400,847042,hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet [Benicar HCT],SBD
CV400,847040,hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG [Benicar HCT],SBDC
CV400,403855,hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet,SCD
CV400,749841,hydrochlorothiazide 25 MG / telmisartan 80 MG Oral Tablet [Micardis-HCT],SBD
CV400,749839,hydrochlorothiazide 25 MG / telmisartan 80 MG [Micardis-HCT],SBDC
CV400,477130,hydrochlorothiazide 25 MG / telmisartan 80 MG Oral Tablet,SCD
CV400,823942,hydrochlorothiazide 25 MG / irbesartan 300 MG Oral Tablet [Avalide],SBD
CV400,823940,hydrochlorothiazide 25 MG / irbesartan 300 MG [Avalide],SBDC
CV400,485471,hydrochlorothiazide 25 MG / irbesartan 300 MG Oral Tablet,SCD
CV400,214354,candesartan,IN
CV400,284628,candesartan / hydrochlorothiazide,MIN
CV400,135481,candesartan cilexetil,PIN
CV400,805863,candesartan cilexetil 16 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Atacand HCT],SBD
CV400,805861,candesartan cilexetil 16 MG / hydrochlorothiazide 12.5 MG [Atacand HCT],SBDC
CV400,805854,candesartan / hydrochlorothiazide Oral Tablet [Atacand HCT],SBDF
CV400,1172182,Atacand HCT Pill,SBDG
CV400,1172183,Atacand HCT Oral Product,SBDG
CV400,578325,candesartan cilexetil 16 MG / hydrochlorothiazide 12.5 MG Oral Tablet,SCD
CV400,577775,candesartan cilexetil 16 MG,SCDC
CV400,374934,candesartan / hydrochlorothiazide Oral Tablet,SCDF
CV400,1156609,candesartan / hydrochlorothiazide Oral Product,SCDG
CV400,1156610,candesartan / hydrochlorothiazide Pill,SCDG
CV400,805859,candesartan cilexetil 32 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Atacand HCT],SBD
CV400,805857,candesartan cilexetil 32 MG / hydrochlorothiazide 12.5 MG [Atacand HCT],SBDC
CV400,578330,candesartan cilexetil 32 MG / hydrochlorothiazide 12.5 MG Oral Tablet,SCD
CV400,577780,candesartan cilexetil 32 MG,SCDC
CV400,809026,hydrochlorothiazide 12.5 MG / valsartan 320 MG Oral Tablet [Diovan HCT],SBD
CV400,809024,hydrochlorothiazide 12.5 MG / valsartan 320 MG [Diovan HCT],SBDC
CV400,636042,hydrochlorothiazide 12.5 MG / valsartan 320 MG Oral Tablet,SCD
CV400,350561,valsartan 320 MG,SCDC
CV400,809030,hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet [Diovan HCT],SBD
CV400,809028,hydrochlorothiazide 25 MG / valsartan 320 MG [Diovan HCT],SBDC
CV400,636045,hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet,SCD
CV400,729455,amlodipine / valsartan,MIN
CV400,724879,amlodipine 10 MG / valsartan 160 MG Oral Tablet [Exforge],SBD
CV400,724877,amlodipine 10 MG / valsartan 160 MG [Exforge],SBDC
CV400,724894,amlodipine / valsartan Oral Tablet [Exforge],SBDF
CV400,1173241,Exforge Oral Product,SBDG
CV400,1173242,Exforge Pill,SBDG
CV400,722126,amlodipine 10 MG / valsartan 160 MG Oral Tablet,SCD
CV400,722125,amlodipine / valsartan Oral Tablet,SCDF
CV400,1152289,amlodipine / valsartan Oral Product,SCDG
CV400,1152290,amlodipine / valsartan Pill,SCDG
CV400,724887,amlodipine 10 MG / valsartan 320 MG Oral Tablet [Exforge],SBD
CV400,724885,amlodipine 10 MG / valsartan 320 MG [Exforge],SBDC
CV400,722131,amlodipine 10 MG / valsartan 320 MG Oral Tablet,SCD
CV400,724891,amlodipine 5 MG / valsartan 160 MG Oral Tablet [Exforge],SBD
CV400,724889,amlodipine 5 MG / valsartan 160 MG [Exforge],SBDC
CV400,722134,amlodipine 5 MG / valsartan 160 MG Oral Tablet,SCD
CV400,724895,amlodipine 5 MG / valsartan 320 MG Oral Tablet [Exforge],SBD
CV400,724893,amlodipine 5 MG / valsartan 320 MG [Exforge],SBDC
CV400,722137,amlodipine 5 MG / valsartan 320 MG Oral Tablet,SCD
CV400,1009015,amlodipine / olmesartan,MIN
CV400,744624,amlodipine 10 MG / olmesartan medoxomil 20 MG Oral Tablet [Azor],SBD
CV400,744622,amlodipine 10 MG / olmesartan medoxomil 20 MG [Azor],SBDC
CV400,744623,amlodipine / olmesartan Oral Tablet [Azor],SBDF
CV400,1166087,Azor Oral Product,SBDG
CV400,1166088,Azor Pill,SBDG
CV400,730861,amlodipine 10 MG / olmesartan medoxomil 20 MG Oral Tablet,SCD
CV400,730860,amlodipine / olmesartan Oral Tablet,SCDF
CV400,1152285,amlodipine / olmesartan Oral Product,SCDG
CV400,1152286,amlodipine / olmesartan Pill,SCDG
CV400,744628,amlodipine 10 MG / olmesartan medoxomil 40 MG Oral Tablet [Azor],SBD
CV400,744626,amlodipine 10 MG / olmesartan medoxomil 40 MG [Azor],SBDC
CV400,730866,amlodipine 10 MG / olmesartan medoxomil 40 MG Oral Tablet,SCD
CV400,744632,amlodipine 5 MG / olmesartan medoxomil 20 MG Oral Tablet [Azor],SBD
CV400,744630,amlodipine 5 MG / olmesartan medoxomil 20 MG [Azor],SBDC
CV400,730869,amlodipine 5 MG / olmesartan medoxomil 20 MG Oral Tablet,SCD
CV400,744636,amlodipine 5 MG / olmesartan medoxomil 40 MG Oral Tablet [Azor],SBD
CV400,744634,amlodipine 5 MG / olmesartan medoxomil 40 MG [Azor],SBDC
CV400,730872,amlodipine 5 MG / olmesartan medoxomil 40 MG Oral Tablet,SCD
CV400,805855,candesartan cilexetil 32 MG / hydrochlorothiazide 25 MG Oral Tablet [Atacand HCT],SBD
CV400,805853,candesartan cilexetil 32 MG / hydrochlorothiazide 25 MG [Atacand HCT],SBDC
CV400,802749,candesartan cilexetil 32 MG / hydrochlorothiazide 25 MG Oral Tablet,SCD
CV400,852897,amlodipine / hydrochlorothiazide / valsartan,MIN
CV400,848134,amlodipine 10 MG / hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet [Exforge HCT],SBD
CV400,848132,amlodipine 10 MG / hydrochlorothiazide 12.5 MG / valsartan 160 MG [Exforge HCT],SBDC
CV400,848148,amlodipine / hydrochlorothiazide / valsartan Oral Tablet [Exforge HCT],SBDF
CV400,1173249,Exforge HCT Oral Product,SBDG
CV400,1173250,Exforge HCT Pill,SBDG
CV400,848131,amlodipine 10 MG / hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet,SCD
CV400,848130,amlodipine / hydrochlorothiazide / valsartan Oral Tablet,SCDF
CV400,1152279,amlodipine / hydrochlorothiazide / valsartan Oral Product,SCDG
CV400,1152280,amlodipine / hydrochlorothiazide / valsartan Pill,SCDG
CV400,848139,amlodipine 10 MG / hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet [Exforge HCT],SBD
CV400,848137,amlodipine 10 MG / hydrochlorothiazide 25 MG / valsartan 320 MG [Exforge HCT],SBDC
CV400,848135,amlodipine 10 MG / hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet,SCD
CV400,848144,amlodipine 5 MG / hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet [Exforge HCT],SBD
CV400,848142,amlodipine 5 MG / hydrochlorothiazide 12.5 MG / valsartan 160 MG [Exforge HCT],SBDC
CV400,848140,amlodipine 5 MG / hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet,SCD
CV400,848149,amlodipine 5 MG / hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Exforge HCT],SBD
CV400,848147,amlodipine 5 MG / hydrochlorothiazide 25 MG / valsartan 160 MG [Exforge HCT],SBDC
CV400,848145,amlodipine 5 MG / hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet,SCD
